match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082605,d2a6c0e6,2017-04-15,Feroz Shah Kotla,Indian Premier League,T20,20,EJG Morgan,Kings XI Punjab,22,20,3,0,0,0,0,0,0,3,0,0,25,0,28,53,SV Samson,SW Billings,KK Nair,SS Iyer,RR Pant,CJ Anderson,CH Morris,PJ Cummins,A Mishra,Z Khan,S Nadeem
1082609,d2a6c0e6,2017-04-17,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,EJG Morgan,Kings XI Punjab,13,17,0,1,0,0,0,0,0,0,0,0,15,0,0,15,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,NV Ojha,DJ Hooda,Mohammad Nabi,Rashid Khan,B Kumar,BB Sran,S Kaul
1082623,d2a6c0e6,2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,EJG Morgan,Kings XI Punjab,26,21,2,1,0,0,0,0,0,0,0,0,30,0,0,30,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,A Nehra,S Kaul,Rashid Khan
1082645,d2a6c0e6,2017-05-14,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,EJG Morgan,Kings XI Punjab,4,4,1,0,0,0,0,0,0,0,0,0,5,0,0,5,AM Rahane,RA Tripathi,SPD Smith,BA Stokes,MK Tiwary,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,A Zampa
1216494,d2a6c0e6,2020-10-21,Sheikh Zayed Stadium,Indian Premier League,T20,20,EJG Morgan,Kolkata Knight Riders,30,34,3,1,0,0,0,0,0,0,0,0,39,0,0,39,D Padikkal,AJ Finch,Gurkeerat Singh,V Kohli,AB de Villiers,CH Morris,Washington Sundar,I Udana,Navdeep Saini,YS Chahal,Mohammed Siraj
1216497,d2a6c0e6,2020-10-24,Sheikh Zayed Stadium,Indian Premier League,T20,20,EJG Morgan,Kolkata Knight Riders,17,9,2,1,0,0,0,0,0,1,0,0,21,0,8,29,AM Rahane,S Dhawan,SS Iyer,RR Pant,SO Hetmyer,MP Stoinis,AR Patel,K Rabada,R Ashwin,TU Deshpande,A Nortje
1216501,d2a6c0e6,2020-10-07,Sheikh Zayed Stadium,Indian Premier League,T20,20,EJG Morgan,Kolkata Knight Riders,7,10,1,0,0,0,0,0,0,1,0,0,8,0,8,16,SR Watson,F du Plessis,AT Rayudu,MS Dhoni,SM Curran,KM Jadhav,RA Jadeja,DJ Bravo,SN Thakur,DL Chahar,KV Sharma
1216504,d2a6c0e6,2020-09-30,Dubai International Cricket Stadium,Indian Premier League,T20,20,EJG Morgan,Kolkata Knight Riders,34,28,1,2,0,0,0,0,0,0,0,0,43,0,0,43,JC Buttler,SPD Smith,SV Samson,RV Uthappa,R Parag,R Tewatia,TK Curran,S Gopal,JC Archer,JD Unadkat,AS Rajpoot
1216508,d2a6c0e6,2020-09-23,Sheikh Zayed Stadium,Indian Premier League,T20,20,EJG Morgan,Kolkata Knight Riders,16,20,1,1,0,0,0,0,0,0,0,0,19,0,0,19,Q de Kock,RG Sharma,SA Yadav,SS Tiwary,HH Pandya,KA Pollard,KH Pandya,JL Pattinson,RD Chahar,TA Boult,JJ Bumrah
1216512,d2a6c0e6,2020-10-18,Sheikh Zayed Stadium,Indian Premier League,T20,20,EJG Morgan,Kolkata Knight Riders,35,25,3,1,0,0,0,0,0,0,0,0,46,0,0,46,JM Bairstow,KS Williamson,PK Garg,DA Warner,MK Pandey,V Shankar,Abdul Samad,Rashid Khan,Sandeep Sharma,Basil Thampi,T Natarajan
1216515,d2a6c0e6,2020-10-03,Sharjah Cricket Stadium,Indian Premier League,T20,20,EJG Morgan,Kolkata Knight Riders,44,19,1,5,0,0,0,0,0,1,0,0,65,0,8,73,PP Shaw,S Dhawan,SS Iyer,RR Pant,MP Stoinis,SO Hetmyer,R Ashwin,K Rabada,A Nortje,A Mishra,HV Patel
1216520,d2a6c0e6,2020-10-26,Sharjah Cricket Stadium,Indian Premier League,T20,20,EJG Morgan,Kolkata Knight Riders,40,25,5,2,0,0,0,0,0,0,0,0,57,0,0,57,KL Rahul,Mandeep Singh,CH Gayle,N Pooran,GJ Maxwell,DJ Hooda,CJ Jordan,M Ashwin,Ravi Bishnoi,Mohammed Shami,Arshdeep Singh
1216523,d2a6c0e6,2020-10-10,Sheikh Zayed Stadium,Indian Premier League,T20,20,EJG Morgan,Kolkata Knight Riders,24,24,2,1,0,0,0,0,0,0,0,0,28,0,0,28,KL Rahul,MA Agarwal,N Pooran,P Simran Singh,GJ Maxwell,Mandeep Singh,CJ Jordan,Ravi Bishnoi,Mohammed Shami,Arshdeep Singh,Mujeeb Ur Rahman
