date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-06,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,84,55,7,3,0,0,0,0,0,0,0,0,109,0,0,109,PA Patel,JC Buttler,RG Sharma,N Rana,AT Rayudu,KH Pandya,KA Pollard,HH Pandya,TG Southee,MJ McClenaghan,JJ Bumrah
2017-04-08,Holkar Cricket Stadium,Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,26,28,3,0,0,0,0,0,0,0,0,0,29,0,0,29,HM Amla,M Vohra,WP Saha,AR Patel,GJ Maxwell,DA Miller,MP Stoinis,Swapnil Singh,MM Sharma,Sandeep Sharma,T Natarajan
2017-04-14,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,43,30,6,1,0,0,0,0,0,0,0,0,57,0,0,57,DR Smith,BB McCullum,SK Raina,KD Karthik,AJ Finch,Ishan Kishan,RA Jadeja,P Kumar,Basil Thampi,AJ Tye,SB Jakati
2017-04-16,M Chinnaswamy Stadium,Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,27,26,3,0,0,0,0,0,0,0,0,0,30,0,0,30,V Kohli,Mandeep Singh,AB de Villiers,KM Jadhav,SR Watson,STR Binny,P Negi,AF Milne,S Badree,S Aravind,YS Chahal
2017-04-22,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,27,21,1,2,0,0,0,0,0,0,0,0,32,0,0,32,DA Warner,S Dhawan,KS Williamson,MC Henriques,DJ Hooda,NV Ojha,Bipul Sharma,B Kumar,Rashid Khan,Mohammed Siraj,S Kaul
2017-04-24,Wankhede Stadium,Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,17,12,2,0,0,0,0,0,0,1,0,0,21,0,8,29,PA Patel,JC Buttler,N Rana,RG Sharma,KV Sharma,KA Pollard,HH Pandya,Harbhajan Singh,MJ McClenaghan,MG Johnson,JJ Bumrah
2017-04-26,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,51,37,4,1,0,0,0,0,0,0,0,0,67,0,0,67,SP Narine,G Gambhir,RV Uthappa,DM Bravo,MK Pandey,YK Pathan,C de Grandhomme,CR Woakes,PP Chawla,Kuldeep Yadav,UT Yadav
2017-04-29,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,45,32,5,1,0,0,0,0,0,2,0,0,58,0,16,74,TM Head,V Kohli,AB de Villiers,KM Jadhav,Sachin Baby,STR Binny,P Negi,AF Milne,S Badree,S Aravind,YS Chahal
2017-05-01,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,4,2,1,0,0,0,0,0,0,0,0,0,5,0,0,5,Ishan Kishan,BB McCullum,SK Raina,AJ Finch,DR Smith,KD Karthik,RA Jadeja,JP Faulkner,PJ Sangwan,Basil Thampi,Ankit Soni
2017-05-03,Eden Gardens,Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,9,9,0,1,0,0,0,0,0,0,0,1,11,0,6,17,SP Narine,G Gambhir,SP Jackson,MK Pandey,YK Pathan,C de Grandhomme,SA Yadav,CR Woakes,NM Coulter-Nile,UT Yadav,Kuldeep Yadav
2017-05-06,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,34,40,0,0,0,0,0,0,0,0,0,0,38,0,0,38,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,NV Ojha,Bipul Sharma,Rashid Khan,B Kumar,S Kaul,A Nehra
2017-05-12,Feroz Shah Kotla,Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,38,35,4,1,0,0,0,0,0,0,0,0,48,0,0,48,SV Samson,KK Nair,SS Iyer,RR Pant,MN Samuels,CJ Anderson,PJ Cummins,A Mishra,Mohammed Shami,S Nadeem,Z Khan
2017-05-14,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,15,18,0,0,0,0,0,0,0,2,0,0,15,0,16,31,MJ Guptill,WP Saha,SE Marsh,EJG Morgan,R Tewatia,GJ Maxwell,AR Patel,Swapnil Singh,MM Sharma,I Sharma,Sandeep Sharma
2017-05-16,Wankhede Stadium,Indian Premier League,T20,20,SPD Smith,Rising Pune Supergiant,1,2,0,0,0,0,0,0,0,2,0,0,1,0,16,17,LMP Simmons,PA Patel,RG Sharma,AT Rayudu,KA Pollard,HH Pandya,KH Pandya,MJ McClenaghan,KV Sharma,JJ Bumrah,SL Malinga
